wavelength_nm,Red_Vermillion,Green_Emerald,Blue_Cobalt,Yellow_Chrome,White_Titanium,Grey_Neutral_50,Black_Carbon
380,0.0500,0.0400,0.2000,0.0500,0.9200,0.5000,0.0400
390,0.0500,0.0400,0.2800,0.0500,0.9200,0.5000,0.0400
400,0.0500,0.0400,0.3800,0.0500,0.9200,0.5000,0.0400
410,0.0500,0.0500,0.4800,0.0500,0.9200,0.5000,0.0400
420,0.0500,0.0700,0.5500,0.0500,0.9200,0.5000,0.0400
430,0.0500,0.1000,0.5800,0.0500,0.9200,0.5000,0.0400
440,0.0500,0.1500,0.5500,0.0500,0.9200,0.5000,0.0400
450,0.0500,0.2200,0.4800,0.0500,0.9200,0.5000,0.0400
460,0.0500,0.3000,0.3800,0.0500,0.9200,0.5000,0.0400
470,0.0500,0.4000,0.2800,0.0500,0.9200,0.5000,0.0400
480,0.0500,0.5000,0.1800,0.0500,0.9200,0.5000,0.0400
490,0.0500,0.5800,0.1100,0.0600,0.9200,0.5000,0.0400
500,0.0500,0.6200,0.0700,0.0800,0.9200,0.5000,0.0400
510,0.0500,0.6000,0.0500,0.1200,0.9200,0.5000,0.0400
520,0.0500,0.5500,0.0400,0.2000,0.9200,0.5000,0.0400
530,0.0500,0.4500,0.0400,0.3500,0.9200,0.5000,0.0400
540,0.0500,0.3200,0.0400,0.5500,0.9200,0.5000,0.0400
550,0.0500,0.2000,0.0400,0.7200,0.9200,0.5000,0.0400
560,0.0500,0.1200,0.0400,0.8200,0.9200,0.5000,0.0400
570,0.0500,0.0800,0.0400,0.8800,0.9200,0.5000,0.0400
580,0.0500,0.0600,0.0400,0.9000,0.9200,0.5000,0.0400
590,0.0600,0.0500,0.0400,0.9100,0.9200,0.5000,0.0400
600,0.1000,0.0400,0.0400,0.9100,0.9200,0.5000,0.0400
610,0.2500,0.0400,0.0400,0.9100,0.9200,0.5000,0.0400
620,0.5500,0.0400,0.0400,0.9000,0.9200,0.5000,0.0400
630,0.7800,0.0400,0.0400,0.9000,0.9200,0.5000,0.0400
640,0.8800,0.0400,0.0400,0.8900,0.9200,0.5000,0.0400
650,0.9000,0.0400,0.0400,0.8900,0.9200,0.5000,0.0400
660,0.9000,0.0400,0.0400,0.8900,0.9200,0.5000,0.0400
670,0.9000,0.0400,0.0400,0.8800,0.9200,0.5000,0.0400
680,0.9000,0.0400,0.0400,0.8800,0.9200,0.5000,0.0400
690,0.9000,0.0400,0.0400,0.8800,0.9200,0.5000,0.0400
700,0.9000,0.0400,0.0400,0.8800,0.9200,0.5000,0.0400
710,0.9000,0.0400,0.0400,0.8700,0.9200,0.5000,0.0400
720,0.9000,0.0400,0.0400,0.8700,0.9200,0.5000,0.0400
730,0.9000,0.0400,0.0400,0.8700,0.9200,0.5000,0.0400
740,0.9000,0.0400,0.0400,0.8700,0.9200,0.5000,0.0400
750,0.9000,0.0400,0.0400,0.8600,0.9200,0.5000,0.0400
760,0.9000,0.0400,0.0400,0.8600,0.9200,0.5000,0.0400
770,0.9000,0.0400,0.0400,0.8600,0.9200,0.5000,0.0400
780,0.9000,0.0400,0.0400,0.8600,0.9200,0.5000,0.0400
